,Lat,Lon,Cls,Nearest City
664,-89.75,152.25,EF,bluff
665,-89.75,152.75,EF,bluff
666,-89.75,153.25,EF,bluff
667,-89.75,153.75,EF,bluff
668,-89.75,154.25,EF,bluff
669,-89.75,154.75,EF,bluff
670,-89.75,155.25,EF,bluff
671,-89.75,155.75,EF,bluff
672,-89.75,156.25,EF,bluff
673,-89.75,156.75,EF,bluff
674,-89.75,157.25,EF,bluff
675,-89.75,157.75,EF,bluff
676,-89.75,158.25,EF,bluff
677,-89.75,158.75,EF,bluff
678,-89.75,159.25,EF,bluff
679,-89.75,159.75,EF,bluff
680,-89.75,160.25,EF,bluff
681,-89.75,160.75,EF,bluff
682,-89.75,161.25,EF,bluff
683,-89.75,161.75,EF,bluff
684,-89.75,162.25,EF,bluff
685,-89.75,162.75,EF,bluff
686,-89.75,163.25,EF,bluff
687,-89.75,163.75,EF,bluff
688,-89.75,164.25,EF,bluff
689,-89.75,164.75,EF,bluff
690,-89.75,165.25,EF,bluff
691,-89.75,165.75,EF,bluff
692,-89.75,166.25,EF,bluff
693,-89.75,166.75,EF,bluff
694,-89.75,167.25,EF,bluff
695,-89.75,167.75,EF,bluff
696,-89.75,168.25,EF,bluff
697,-89.75,168.75,EF,bluff
698,-89.75,169.25,EF,bluff
699,-89.75,169.75,EF,bluff
700,-89.75,170.25,EF,bluff
701,-89.75,170.75,EF,bluff
702,-89.75,171.25,EF,bluff
703,-89.75,171.75,EF,bluff
704,-89.75,172.25,EF,bluff
705,-89.75,172.75,EF,bluff
706,-89.75,173.25,EF,bluff
707,-89.75,173.75,EF,bluff
708,-89.75,174.25,EF,bluff
709,-89.75,174.75,EF,bluff
710,-89.75,175.25,EF,bluff
