,City,Climate Classification,Lat,Lon,Country,Population
344,Santa Cruz,Aw,32.675,-16.8309,Portugal,43005.0
345,Santa Cruz,Aw,13.1167,120.85,Philippines,42417.0
346,Santa Cruz,Aw,17.0833,120.45,Philippines,41366.0
347,Santa Cruz,Aw,-6.2289,-36.0228,Brazil,35797.0
348,Santa Cruz,Aw,-0.5333,-90.35,Ecuador,11262.0
349,Santa Cruz,Aw,-6.5328,-38.0619,Brazil,6579.0
350,Qinhuangdao,Dwa,39.9398,119.5881,China,3146300.0
351,Tongliao,Dwa,43.6172,122.264,China,3139153.0
352,Jinzhou,Dwa,41.1144,121.1292,China,3126463.0
353,Zhenjiang,Cfa,32.2109,119.4551,China,3113384.0
354,Ürümqi,BSk,43.8225,87.6125,China,3112559.0
355,Heyuan,Cwa,23.7503,114.6923,China,3093900.0
356,Jaipur,Aw,26.9167,75.8667,India,3073350.0
357,Jaipur,Aw,23.4313,86.1493,India,10259.0
358,Xinzhou,Dwb,38.4178,112.7233,China,3067501.0
359,Wuzhou,Cfa,23.4833,111.3167,China,3061100.0
360,Addis Ababa,Cwb,9.0272,38.7369,Ethiopia,3041002.0
361,Chaoyang,Dwa,41.5757,120.4486,China,3044641.0
362,Brasília,Aw,-15.7939,-47.8828,Brazil,3015268.0
363,Mashhad,BSk,36.3069,59.6042,Iran,3001184.0
364,Shaoguan,Cfa,24.8011,113.5927,China,2997600.0
365,Kuwait City,BWh,29.375,47.98,Kuwait,2989000.0
366,Shanwei,Cwa,22.7664,115.3331,China,2993600.0
367,Quezon City,Af,14.6333,121.0333,Philippines,2960048.0
368,Minneapolis,Dfa,44.9635,-93.2678,United States,2977172.0
369,Kyiv,Dfb,50.45,30.5236,Ukraine,2963199.0
370,Sanaa,BWk,15.35,44.2,Yemen,2957000.0
371,Meishan,Cwa,30.0575,103.8381,China,2950545.0
372,Meishan,Cwa,34.1736,112.839,China,936000.0
373,Guatemala City,Cwb,14.6099,-90.5252,Guatemala,2934841.0
374,Incheon,Cwa,37.4639,126.6486,South Korea,2913024.0
375,Ningde,Cfa,26.6617,119.5228,China,2910000.0
376,Tampa,Cfa,27.9942,-82.4451,United States,2908063.0
377,Daqing,Dwa,46.5979,125.008,China,2904532.0
378,Putian,Cfa,25.4394,119.0103,China,2900000.0
379,Bandung,Af,-6.95,107.5667,Indonesia,2875673.0
380,Surabaya,Aw,-7.2458,112.7378,Indonesia,2885555.0
381,Salvador,Aw,-12.9708,-38.5108,Brazil,2886698.0
382,Salvador,Aw,20.2094,-75.2231,Cuba,45773.0
383,Denver,BSk,39.7621,-104.8759,United States,2876625.0
384,Rome,Dfb,41.8931,12.4828,Italy,2872800.0
385,Rome,Dfb,34.2661,-85.1862,United States,61537.0
386,Rome,Dfb,43.226,-75.4909,United States,32148.0
387,La Paz,BWk,-16.4942,-68.1475,Bolivia,2867504.0
388,La Paz,BWk,24.1422,-110.3108,Mexico,250141.0
389,La Paz,BWk,14.3169,-87.6831,Honduras,41250.0
390,La Paz,BWk,15.4431,120.7289,Philippines,68952.0
391,La Paz,BWk,8.2801,125.8092,Philippines,30969.0
392,La Paz,BWk,10.8833,124.95,Philippines,19174.0
393,La Paz,BWk,17.6746,120.6864,Philippines,16493.0
394,La Paz,BWk,-33.4661,-67.55,Argentina,4400.0
395,Hohhot,BSk,40.8151,111.6629,China,2866615.0
396,Xiangtan,Cfa,27.8431,112.9228,China,2864800.0
397,Pyongyang,Dwa,39.03,125.73,North Korea,2863000.0
398,Taichung,Cfa,24.15,120.6667,Taiwan,2803894.0
399,Weihai,Cwa,37.5,122.1,China,2804771.0
400,Rizhao,Cwa,35.4164,119.4331,China,2801013.0
401,Mudanjiang,Dwb,44.5861,129.5997,China,2798723.0
402,Kaohsiung,Am,22.6167,120.3,Taiwan,2773533.0
403,Guayaquil,Aw,-2.19,-79.8875,Ecuador,2723665.0
404,Tieling,Dwa,42.2841,123.8365,China,2717732.0
405,Cawnpore,Csa,26.4725,80.3311,India,2701324.0
406,Dingxi,BSk,35.5806,104.6263,China,2698624.0
407,Taipei,Cfa,25.0478,121.5319,Taiwan,2684567.0
408,Nanping,Cfa,26.6448,118.1728,China,2690000.0
409,Zigong,Cwa,29.3498,104.7645,China,2678899.0
410,Chaozhou,Cfa,23.67,116.63,China,2656600.0
411,Baotou,BSk,40.6562,109.8345,China,2650364.0
412,Gulou,Cfa,26.0819,119.2981,China,2606000.0
413,Longyan,Cfa,25.0881,117.0244,China,2640000.0
414,Ankang,Cwa,32.6877,109.0235,China,2629906.0
415,Baoshan,Cwb,25.1211,99.169,China,2627000.0
416,Huludao,Dwa,40.7094,120.8378,China,2623541.0
417,Antananarivo,Cwb,-18.9386,47.5214,Madagascar,2610000.0
418,Yanjiang,Cwa,30.1256,104.6397,China,2593843.0
419,Chattogram,Am,22.335,91.8325,Bangladesh,2581643.0
420,Santo Domingo,Cfb,18.4764,-69.8933,Dominican Republic,2581827.0
421,Santo Domingo,Cfb,15.5833,120.8667,Philippines,61092.0
422,Santo Domingo,Cfb,13.235,123.7769,Philippines,37765.0
423,Santo Domingo,Cfb,17.6333,120.4083,Philippines,29041.0
424,Santo Domingo,Cfb,6.4708,-75.1658,Colombia,10759.0
425,Sanming,Cfa,26.2658,117.6302,China,2580000.0
426,Longba,Cwb,33.535,105.349,China,2567718.0
427,Brooklyn,Cfb,40.6501,-73.9496,United States,2559903.0
428,Brooklyn,Cfb,41.4349,-81.7498,United States,10646.0
429,Brooklyn,Cfb,41.787,-71.9543,United States,8238.0
430,Yangjiang,Cwa,21.8556,111.9627,China,2555600.0
431,Jiamusi,Dwb,46.8081,130.3653,China,2552097.0
432,Ibadan,Aw,7.3964,3.9167,Nigeria,2550593.0
433,Luohe,Cwa,33.583,114.0109,China,2544266.0
434,Lincang,Cwb,23.8864,100.0871,China,2536000.0
435,Medellín,Af,6.2447,-75.5748,Colombia,2529403.0
436,Xuanzhou,Cfa,30.9475,118.7518,China,2532938.0
437,Yunfu,Cwa,22.9242,112.0353,China,2526900.0
438,Yunfu,Cwa,28.6331,104.4181,China,103532.0
439,Dubai,BWh,25.2697,55.3094,United Arab Emirates,2502715.0
440,Mirzāpur,Csa,25.15,82.58,India,2496970.0
